Title,summary,image_link
"Blessing in Covid disguise: Bihar auto driver finds lost Rs 20,000 untouched as locals fall prey to fake news","An auto driver in Bihar's Madhepura district is thankful for coronavirus
rumours after he found Rs 20,000 he had lost, all because people were scared
to touch the money over fears of catching Covid-19.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/Money_on_Road-170x96.jpeg?QWr9qVoMBFNy_cDk54OoNgecacNtt16U
"KDMC, UMC, NMMC restrict local essential workers from travelling to neighbouring Mumbai","The three corporations have decided to make the travellers fill a form
announcing why they will be travelling to Mumbai.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/APMC_Navi_Mumbai__PTI_-170x96.jpeg?6JQ7peh6.Khx6AkExvEYC9qFgy5Qc3T_
"TMC blames Centre for spike in Covid-19 cases in West Bengal, BJP retorts ","The Trinamool Congress on Tuesday alleged that the ""callous approach"" of the
BJP-led central government in allowing international flights to operate till
the last week of March resulted in the spike in Covid-19 cases in the state.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/mamata_banerjee-170x96.jpeg?t4KUSuxq0wUwiqkytrnYm0gxldJPFA5T
Noida: Cop on Dial 112 duty tests positive for Covid-19,"A policeman deployed on the emergency 112 helpline service in Uttar Pradesh's
Gautam Buddh Nagar has tested positive for the coronavirus disease, officials
said on Tuesday.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/UP_police-170x96.jpeg?pQWZn8HlymWzY1FemNO.6RwmcMn2Rf80
"Liquor worth Rs 11 crore sold in single day in Maharashtra, says state excise commissioner","The Mumbai Municipal Commissioner on Tuesday night issued an order directing
closure of all non-essential shops, including liquor stores.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/Mumbai_liquor_shop__PTI_-170x96.jpeg?RooFNxVfVQHDH52d1vcc5KH0KL4F3x9F
"Another 1,700 virus deaths reported in New York","New York state is reporting more than 1,700 previously undisclosed deaths at
nursing homes and adult care facilities as the state faces scrutiny over how
it's protected vulnerable residents during the coronavirus pandemic.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/America-170x96.jpeg?YrfOQ6EqPMjruTHHbgZsXcCidLhxfsxM
"UP MLA Aman Mani Tripathi gets bail in lockdown violation case, quarantined","An Uttar Pradesh court on Tuesday granted bail to Independent MLA Aman Mani
Tripathi and seven of his associates who were arrested for allegedly
violating lockdown guidelines.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/UPMLA-170x96.jpeg?qqCoPlXmMRYxe8RU_YOMUe2k3heN47CX
"Coronavirus: 13 including 12 BSF jawans in Tripura test positive, total in state reaches 42","The total number of BSF jawans who have tested Covid-19 positive in Ambassa,
Tripura, reached 34 in the last four days while the unit reported 38 cases
which include two children, wife of a jawan and a mess worker. ",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/BSFjawan-170x96.jpeg?wzSIztuGI4VUZnuKUUw8OKE1WIopyGXU
"Coronavirus: States on alert as India registers 3900-case spike, liquor, fuel pave way for fiscal revival","As the country registered a highest-ever spike in coronavirus cases, several
authorities withdrew relaxations introduced from Monday, while others relied
on them to revive sinking state economies.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/PTI05-05-2020_000106A_0-170x96.jpeg?pc9iKAijax554b8MYV_ZPCdYX7TX1v4R
Covid-19: Two civic bodies to seal borders in Mumbai from May 8,"Two major municipal corporations adjoining Mumbai on Tuesday announced
complete sealing of their borders, including prohibiting movement of people
towards and from the metropolis, from May 8 to halt the coronavirus spread.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/coronavirus_lockdown-170x96.jpeg?morg.8ejzJEUZ8ue9a4cKiAxNoR1W84d
"TN has highest testing rate, more cases in Chennai because of density: CM Edapaddi K Palaniswami","The state government has also set up mobile testing centres to help people
get tested for Covid-19 in the very areas they live in, Tamil Nadu CM
Edapaddi K Palaniswami said.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/Edapadi_K_Palaniswami__Twitter-170x96.png?gailgI_0KzPwJK6hCaWHusfd9bAqdJ99
Lockdown: Liquor shops remain closed in MP as contractors move HC,"Despite the Madhya Pradesh government allowing reopening of booze shops from
Tuesday, the outlets remained closed in the state with liquor contractors
approaching the high court.",https://akm-img-a-in.tosshub.com/indiatoday/images/story/202005/MP-170x96.jpeg?FuRQpAM8OKqdH4LnBiljcR1aVIsGsncB
